Complexity,Loss,Equation
1,2.501438,"0.6379041"
3,1.3168061,"(x0 * x3)"
5,1.1605102,"(0.32204083 - (x1 * x2))"
7,1.072705e-14,"((x0 * x3) - (x2 * x1))"
11,1.0047907e-14,"((x0 * x3) - (((x2 * x1) - -0.14976001) + -0.14975998))"
